manufacturer,product_name,storage_type,capacity_gb,form_factor,interface,nvme
EASE,EASE EM256M2 256 GB M.2-2280 PCIe NVME Solid State Drive,SSD,256,M.2-2280,PCIe 3.0 x4,True
EASE,EASE EOD5I SATA Internal Optical Drive,HDD,,"5.25""",SATA,False
Ease,Ease EOD5U3C External DVD Writer,HDD,0,External,USB 3.0,False
HikSemi,HikSemi Future 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
HikSemi,HikSemi Future 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,4000,M.2-2280,PCIe 4.0 x4,True
HikSemi,HikSemi Future 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 4.0 x4,True
HikSemi,HikSemi WAVE 512 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 3.0 x4,True
HikSemi,HikSemi Wave 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,256,M.2-2280,PCIe 3.0 x4,True
HikSemi,HikSemi Wave Pro 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 3.0 x4,True
HikSemi,"HikSemi Wave 128 GB 2.5"" SATA Solid State Drive",SSD,128,"2.5""",SATA 6.0 Gb/s,False
HikSemi,"HikSemi Wave 256 GB 2.5"" SATA Solid State Drive",SSD,256,"2.5""",SATA 6.0 Gb/s,False
Hiksemi,Hiksemi FUTURE 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Hiksemi,Hiksemi FUTURE 512 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 4.0 x4,True
Hiksemi,Hiksemi WAVE(P) Consumer 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 3.0 x4,True
Hiksemi,Hiksemi WAVE(P) 256 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,256,M.2-2280,PCIe 3.0 x4,True
Hiksemi,Hiksemi WAVE(P) Consumer 512 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,SSD,512,M.2-2280,PCIe 3.0 x4,True
Hiksemi,"Hiksemi WAVE 128 GB 2.5"" SATA 6.0 Gb/s Solid State Drive",SSD,128,"2.5""",SATA 6.0 Gb/s,False
Hiksemi,"Hiksemi WAVE(S) Consumer 1 TB 2.5"" SATA 6.0 Gb/s Solid State Drive",SSD,1000,"2.5""",SATA 6.0 Gb/s,False
Hiksemi,"Hiksemi WAVE 256 GB 2.5"" SATA 6.0 Gb/s Solid State Drive",SSD,256,"2.5""",SATA 6.0 Gb/s,False
Hiksemi,"Hiksemi WAVE(S) Consumer 512 GB 2.5"" SATA 6.0 Gb/s Solid State Drive",SSD,512,"2.5""",SATA 6.0 Gb/s,False
KingSpec,"KingSpec P3 128 GB 2.5"" SATA Solid State Drive",SSD,128,"2.5""",SATA 6.0 Gb/s,False
Kingston,Kingston Fury Renegade 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
Kingston,Kingston NV3 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,1000,M.2-2280,PCIe 4.0 x4,True
Kingston,Kingston NV3 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,SSD,2000,M.2-2280,PCIe 4.0 x4,True
